size,mode,warmup,iters,autocast,peak_memory_mib,checkpoint_block_size,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms,ctx_length
xl,train,5,10,False,65126.4365234375,1,1332.7688606106676,0.20452955446230706,3685.1357617008034,0.5118436476144522,80.0136869889684,0.07941363393616253,2048
xl,train,5,10,False,71230.9482421875,2,1325.0073920935392,0.06472008856860449,3785.4718777816743,0.06901451391074763,79.8574406770058,0.10819759345990264,2048
xl,train,5,10,False,83440.0341796875,4,1327.5357261125464,1.1052447129655207,3852.109572495101,3.4102671758345466,79.98408389394172,0.1049138502654006,2048
