size,mode,warmup,iters,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms
small,train,5,10,16.86334990663454,0.039937888944210936,32.11555011803284,0.017779782721997775,7.6322629931382835,0.019857744782912034
medium,train,5,10,47.80028029344976,0.13003515397438017,92.78090859297663,0.09096413459226749,17.138877185061574,0.11679184493332996
large,train,5,10,106.85125507880002,0.05716143127009521,208.4233565023169,0.18338228120601932,30.525026365648955,0.136119336192716
xl,train,5,10,305.8469639159739,0.1385410924611009,571.7588171130046,0.39227419499287985,80.31949357828125,0.16438366898740148
