size,mode,warmup,iters,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms
small,train,2,10,16.736282504280098,0.07745298512817204,32.02405359770637,0.02875002358716588,7.322609898983501,0.0309567176913913
medium,train,2,10,47.503619294730015,0.04777112767619201,92.40810939809307,0.037952186781684806,16.514198196819052,0.04156186828385564
large,train,2,10,106.49658320180606,0.055217189539249305,207.6126447005663,0.08729602889361975,29.867907403968275,0.17618954956924812
xl,train,2,10,295.87960400094744,0.2321216518675349,569.123654201394,0.13034875714726898,80.84811989974696,0.09602756005857965
