Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.6,192049784,1,192049784.0,192049784.0,192049784,192049784,0.0,PushPop,:timing
13.9,79167717,1,79167717.0,79167717.0,79167717,79167717,0.0,PushPop,:optim_step
11.4,65246496,1,65246496.0,65246496.0,65246496,65246496,0.0,PushPop,:backward
11.4,65230329,1,65230329.0,65230329.0,65230329,65230329,0.0,PushPop,:torch.autograd.backward
8.0,45646578,1,45646578.0,45646578.0,45646578,45646578,0.0,PushPop,:forward
1.6,8915968,32,278624.0,275798.0,256165,309561,13223.5,PushPop,:scaled_dot_product_attention
1.4,7865903,64,122904.7,125884.0,102463,165270,15472.5,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.5,2822046,32,88188.9,86334.5,82206,106925,5758.2,PushPop,:computing softmax
0.4,2479117,32,77472.4,76103.0,69158,98667,6510.2,PushPop,:computing attention_scores
0.3,1671814,32,52244.2,49645.5,46583,75988,6966.6,PushPop,:computing output
0.3,1664471,1,1664471.0,1664471.0,1664471,1664471,0.0,PushPop,:BasicsTransformerLM.layers.0
0.3,1469615,1,1469615.0,1469615.0,1469615,1469615,0.0,PushPop,:BasicsTransformerLM.layers.3
0.3,1442808,1,1442808.0,1442808.0,1442808,1442808,0.0,PushPop,:BasicsTransformerLM.layers.14
0.3,1438667,32,44958.3,43289.0,42071,63625,5621.8,PushPop,:applying attention mask
0.3,1432223,1,1432223.0,1432223.0,1432223,1432223,0.0,PushPop,:BasicsTransformerLM.layers.7
0.3,1430657,1,1430657.0,1430657.0,1430657,1430657,0.0,PushPop,:BasicsTransformerLM.layers.27
0.2,1427517,1,1427517.0,1427517.0,1427517,1427517,0.0,PushPop,:BasicsTransformerLM.layers.17
0.2,1420204,1,1420204.0,1420204.0,1420204,1420204,0.0,PushPop,:BasicsTransformerLM.layers.2
0.2,1416569,1,1416569.0,1416569.0,1416569,1416569,0.0,PushPop,:BasicsTransformerLM.layers.10
0.2,1414223,1,1414223.0,1414223.0,1414223,1414223,0.0,PushPop,:BasicsTransformerLM.layers.5
0.2,1411668,1,1411668.0,1411668.0,1411668,1411668,0.0,PushPop,:BasicsTransformerLM.layers.13
0.2,1411394,1,1411394.0,1411394.0,1411394,1411394,0.0,PushPop,:BasicsTransformerLM.layers.6
0.2,1409011,1,1409011.0,1409011.0,1409011,1409011,0.0,PushPop,:BasicsTransformerLM.layers.28
0.2,1408664,1,1408664.0,1408664.0,1408664,1408664,0.0,PushPop,:BasicsTransformerLM.layers.4
0.2,1408186,1,1408186.0,1408186.0,1408186,1408186,0.0,PushPop,:BasicsTransformerLM.layers.12
0.2,1407451,1,1407451.0,1407451.0,1407451,1407451,0.0,PushPop,:BasicsTransformerLM.layers.24
0.2,1406176,1,1406176.0,1406176.0,1406176,1406176,0.0,PushPop,:BasicsTransformerLM.layers.9
0.2,1402110,1,1402110.0,1402110.0,1402110,1402110,0.0,PushPop,:BasicsTransformerLM.layers.1
0.2,1396846,1,1396846.0,1396846.0,1396846,1396846,0.0,PushPop,:BasicsTransformerLM.layers.20
0.2,1396582,1,1396582.0,1396582.0,1396582,1396582,0.0,PushPop,:BasicsTransformerLM.layers.16
0.2,1390517,1,1390517.0,1390517.0,1390517,1390517,0.0,PushPop,:BasicsTransformerLM.layers.21
0.2,1388406,1,1388406.0,1388406.0,1388406,1388406,0.0,PushPop,:BasicsTransformerLM.layers.19
0.2,1388292,1,1388292.0,1388292.0,1388292,1388292,0.0,PushPop,:BasicsTransformerLM.layers.30
