Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.7,1407900054,1,1407900054.0,1407900054.0,1407900054,1407900054,0.0,PushPop,:timing
21.3,887163968,2,443581984.0,443581984.0,443578535,443585433,4877.6,PushPop,:backward
21.3,887130171,2,443565085.5,443565085.5,443560506,443569665,6476.4,PushPop,:torch.autograd.backward
7.4,307254408,2,153627204.0,153627204.0,152872247,154382161,1067670.4,PushPop,:optim_step
4.9,206411627,2,103205813.5,103205813.5,103205388,103206239,601.7,PushPop,:forward
1.0,43371735,144,301192.6,137579.5,99345,946291,293831.4,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.3,12679965,2,6339982.5,6339982.5,6331464,6348501,12047.0,PushPop,:BasicsTransformerLM.layers.34
0.3,12632648,2,6316324.0,6316324.0,6303489,6329159,18151.4,PushPop,:BasicsTransformerLM.layers.30
0.3,12617153,2,6308576.5,6308576.5,6264398,6352755,62477.8,PushPop,:BasicsTransformerLM.layers.31
0.3,12586909,2,6293454.5,6293454.5,6258476,6328433,49467.1,PushPop,:BasicsTransformerLM.layers.33
0.3,12581901,2,6290950.5,6290950.5,6283885,6298016,9992.1,PushPop,:BasicsTransformerLM.layers.35
0.3,12578410,2,6289205.0,6289205.0,6277547,6300863,16486.9,PushPop,:BasicsTransformerLM.layers.29
0.3,12556402,2,6278201.0,6278201.0,6263982,6292420,20108.7,PushPop,:BasicsTransformerLM.layers.32
0.3,12538798,2,6269399.0,6269399.0,6231226,6307572,53984.8,PushPop,:BasicsTransformerLM.layers.28
0.3,12534861,2,6267430.5,6267430.5,6257390,6277471,14199.4,PushPop,:BasicsTransformerLM.layers.27
0.3,12055420,2,6027710.0,6027710.0,5745854,6309566,398604.6,PushPop,:BasicsTransformerLM.layers.26
0.2,10287807,2,5143903.5,5143903.5,5131237,5156570,17913.1,PushPop,:BasicsTransformerLM.layers.33.attn
0.2,10283306,2,5141653.0,5141653.0,5135164,5148142,9176.8,PushPop,:BasicsTransformerLM.layers.30.attn
0.2,10252588,2,5126294.0,5126294.0,5110103,5142485,22897.5,PushPop,:BasicsTransformerLM.layers.34.attn
0.2,10248869,2,5124434.5,5124434.5,5111237,5137632,18664.1,PushPop,:BasicsTransformerLM.layers.29.attn
0.2,10225544,2,5112772.0,5112772.0,5095033,5130511,25086.7,PushPop,:BasicsTransformerLM.layers.31.attn
0.2,10208626,2,5104313.0,5104313.0,5080151,5128475,34170.2,PushPop,:BasicsTransformerLM.layers.35.attn
0.2,10207184,2,5103592.0,5103592.0,5093854,5113330,13771.6,PushPop,:BasicsTransformerLM.layers.28.attn
0.2,10199293,2,5099646.5,5099646.5,5064029,5135264,50370.8,PushPop,:BasicsTransformerLM.layers.32.attn
0.2,10188070,2,5094035.0,5094035.0,5058395,5129675,50402.6,PushPop,:BasicsTransformerLM.layers.27.attn
0.2,9623402,2,4811701.0,4811701.0,4544981,5078421,377199.0,PushPop,:BasicsTransformerLM.layers.26.attn
0.1,4473517,2,2236758.5,2236758.5,2182774,2290743,76345.6,PushPop,:BasicsTransformerLM.layers.0
0.1,3359119,2,1679559.5,1679559.5,1622782,1736337,80295.5,PushPop,:BasicsTransformerLM.layers.0.attn
0.1,3151505,2,1575752.5,1575752.5,1567908,1583597,11093.8,PushPop,:BasicsTransformerLM.layers.1
0.1,3085316,2,1542658.0,1542658.0,1522036,1563280,29163.9,PushPop,:BasicsTransformerLM.layers.3
0.1,3059293,2,1529646.5,1529646.5,1523968,1535325,8030.6,PushPop,:BasicsTransformerLM.layers.7
0.1,3053793,2,1526896.5,1526896.5,1518739,1535054,11536.4,PushPop,:BasicsTransformerLM.layers.9
0.1,3041030,2,1520515.0,1520515.0,1507400,1533630,18547.4,PushPop,:BasicsTransformerLM.layers.5
0.1,3040165,2,1520082.5,1520082.5,1518368,1521797,2424.7,PushPop,:BasicsTransformerLM.layers.11
0.1,3027995,2,1513997.5,1513997.5,1513906,1514089,129.4,PushPop,:BasicsTransformerLM.layers.13
0.1,3024949,2,1512474.5,1512474.5,1487155,1537794,35807.2,PushPop,:BasicsTransformerLM.layers.25
0.1,3021920,2,1510960.0,1510960.0,1506720,1515200,5996.3,PushPop,:BasicsTransformerLM.layers.17
0.1,3015924,2,1507962.0,1507962.0,1477990,1537934,42386.8,PushPop,:BasicsTransformerLM.layers.12
0.1,3013444,2,1506722.0,1506722.0,1504984,1508460,2457.9,PushPop,:BasicsTransformerLM.layers.21
0.1,3011802,2,1505901.0,1505901.0,1487175,1524627,26482.6,PushPop,:BasicsTransformerLM.layers.15
0.1,3007122,2,1503561.0,1503561.0,1496161,1510961,10465.2,PushPop,:BasicsTransformerLM.layers.20
0.1,3002394,2,1501197.0,1501197.0,1493995,1508399,10185.2,PushPop,:BasicsTransformerLM.layers.23
0.1,3000021,2,1500010.5,1500010.5,1498179,1501842,2590.1,PushPop,:BasicsTransformerLM.layers.19
0.1,2999413,2,1499706.5,1499706.5,1492361,1507052,10388.1,PushPop,:BasicsTransformerLM.layers.24
0.1,2997456,2,1498728.0,1498728.0,1484132,1513324,20641.9,PushPop,:BasicsTransformerLM.layers.18
0.1,2981876,2,1490938.0,1490938.0,1475498,1506378,21835.5,PushPop,:BasicsTransformerLM.layers.8
0.1,2977518,2,1488759.0,1488759.0,1472876,1504642,22462.0,PushPop,:BasicsTransformerLM.layers.22
0.1,2971877,2,1485938.5,1485938.5,1476532,1495345,13302.8,PushPop,:BasicsTransformerLM.layers.14
0.1,2967480,2,1483740.0,1483740.0,1469544,1497936,20076.2,PushPop,:BasicsTransformerLM.layers.6
0.1,2963798,2,1481899.0,1481899.0,1465834,1497964,22719.3,PushPop,:BasicsTransformerLM.layers.16
0.1,2948234,2,1474117.0,1474117.0,1453678,1494556,28905.1,PushPop,:BasicsTransformerLM.layers.10
0.1,2939152,2,1469576.0,1469576.0,1458435,1480717,15755.8,PushPop,:BasicsTransformerLM.layers.4
0.1,2915119,2,1457559.5,1457559.5,1454982,1460137,3645.1,PushPop,:BasicsTransformerLM.layers.2
0.1,2158678,2,1079339.0,1079339.0,1057226,1101452,31272.5,PushPop,:loss
0.0,2000770,2,1000385.0,1000385.0,998632,1002138,2479.1,PushPop,:BasicsTransformerLM.layers.1.attn
0.0,1962666,2,981333.0,981333.0,974722,987944,9349.4,PushPop,:BasicsTransformerLM.layers.8.attn
0.0,1959893,2,979946.5,979946.5,970294,989599,13650.7,PushPop,:BasicsTransformerLM.layers.6.attn
0.0,1955423,2,977711.5,977711.5,971770,983653,8402.5,PushPop,:BasicsTransformerLM.layers.3.attn
0.0,1955097,2,977548.5,977548.5,962309,992788,21551.9,PushPop,:BasicsTransformerLM.layers.12.attn
0.0,1953449,2,976724.5,976724.5,974013,979436,3834.6,PushPop,:BasicsTransformerLM.layers.24.attn
0.0,1949865,2,974932.5,974932.5,968085,981780,9683.8,PushPop,:BasicsTransformerLM.layers.18.attn
0.0,1945949,2,972974.5,972974.5,961269,984680,16554.1,PushPop,:BasicsTransformerLM.layers.25.attn
0.0,1945168,2,972584.0,972584.0,964177,980991,11889.3,PushPop,:BasicsTransformerLM.layers.2.attn
0.0,1941879,2,970939.5,970939.5,965956,975923,7047.7,PushPop,:BasicsTransformerLM.layers.10.attn
0.0,1939015,2,969507.5,969507.5,963170,975845,8962.6,PushPop,:BasicsTransformerLM.layers.14.attn
0.0,1937773,2,968886.5,968886.5,961322,976451,10697.8,PushPop,:BasicsTransformerLM.layers.23.attn
0.0,1936941,2,968470.5,968470.5,955923,981018,17744.8,PushPop,:BasicsTransformerLM.layers.15.attn
0.0,1935927,2,967963.5,967963.5,958007,977920,14080.6,PushPop,:BasicsTransformerLM.layers.22.attn
0.0,1935054,2,967527.0,967527.0,966008,969046,2148.2,PushPop,:BasicsTransformerLM.layers.4.attn
0.0,1935008,2,967504.0,967504.0,967502,967506,2.8,PushPop,:BasicsTransformerLM.layers.20.attn
0.0,1932433,2,966216.5,966216.5,960822,971611,7629.0,PushPop,:BasicsTransformerLM.layers.16.attn
0.0,1924489,2,962244.5,962244.5,932810,991679,41626.7,PushPop,:BasicsTransformerLM.layers.9.attn
0.0,1923598,2,961799.0,961799.0,936991,986607,35083.8,PushPop,:BasicsTransformerLM.layers.11.attn
0.0,1910260,2,955130.0,955130.0,939741,970519,21763.3,PushPop,:BasicsTransformerLM.layers.13.attn
0.0,1898754,2,949377.0,949377.0,933536,965218,22402.6,PushPop,:BasicsTransformerLM.layers.7.attn
0.0,1898300,2,949150.0,949150.0,925672,972628,33202.9,PushPop,:BasicsTransformerLM.layers.21.attn
0.0,1896280,2,948140.0,948140.0,915477,980803,46192.5,PushPop,:BasicsTransformerLM.layers.5.attn
0.0,1889973,2,944986.5,944986.5,921403,968570,33352.1,PushPop,:BasicsTransformerLM.layers.19.attn
0.0,1886515,2,943257.5,943257.5,922268,964247,29683.6,PushPop,:BasicsTransformerLM.layers.17.attn
0.0,1542574,2,771287.0,771287.0,768473,774101,3979.6,PushPop,:BasicsTransformerLM.layers.32.ln2
0.0,1536753,2,768376.5,768376.5,763492,773261,6907.7,PushPop,:BasicsTransformerLM.layers.31.ln2
0.0,1520474,2,760237.0,760237.0,758620,761854,2286.8,PushPop,:BasicsTransformerLM.layers.35.ln2
0.0,1515128,2,757564.0,757564.0,751937,763191,7957.8,PushPop,:BasicsTransformerLM.layers.26.ln2
0.0,1505520,2,752760.0,752760.0,728964,776556,33652.6,PushPop,:BasicsTransformerLM.layers.29.ln2
0.0,1494820,2,747410.0,747410.0,736336,758484,15661.0,PushPop,:BasicsTransformerLM.layers.33.ln2
0.0,1482946,2,741473.0,741473.0,708886,774060,46085.0,PushPop,:BasicsTransformerLM.layers.30.ln2
0.0,1477917,2,738958.5,738958.5,710606,767311,40096.5,PushPop,:BasicsTransformerLM.layers.34.ln2
0.0,1476426,2,738213.0,738213.0,734141,742285,5758.7,PushPop,:BasicsTransformerLM.layers.28.ln2
0.0,1457539,2,728769.5,728769.5,720173,737366,12157.3,PushPop,:BasicsTransformerLM.layers.27.ln2
0.0,1166983,2,583491.5,583491.5,567488,599495,22632.4,PushPop,:BasicsTransformerLM.layers.0.attn.q_proj
0.0,551886,2,275943.0,275943.0,259345,292541,23473.1,PushPop,:BasicsTransformerLM.layers.26.ffn
0.0,531607,2,265803.5,265803.5,255384,276223,14735.4,PushPop,:BasicsTransformerLM.layers.34.ffn
0.0,519709,2,259854.5,259854.5,230814,288895,41069.5,PushPop,:BasicsTransformerLM.layers.27.ffn
0.0,511068,2,255534.0,255534.0,240626,270442,21083.1,PushPop,:BasicsTransformerLM.layers.35.ffn
0.0,506056,2,253028.0,253028.0,237677,268379,21709.6,PushPop,:BasicsTransformerLM.layers.12.ffn
0.0,504151,2,252075.5,252075.5,228556,275595,33261.6,PushPop,:BasicsTransformerLM.layers.1.ffn
0.0,503060,2,251530.0,251530.0,246918,256142,6522.4,PushPop,:BasicsTransformerLM.layers.14.ffn
0.0,496350,2,248175.0,248175.0,224694,271656,33207.1,PushPop,:BasicsTransformerLM.layers.7.ffn
0.0,490786,2,245393.0,245393.0,218952,271834,37393.2,PushPop,:BasicsTransformerLM.layers.3.ffn
0.0,487833,2,243916.5,243916.5,233503,254330,14726.9,PushPop,:BasicsTransformerLM.layers.10.ffn
0.0,486972,2,243486.0,243486.0,222090,264882,30258.5,PushPop,:BasicsTransformerLM.layers.5.ffn
0.0,483720,2,241860.0,241860.0,238040,245680,5402.3,PushPop,:BasicsTransformerLM.layers.18.ffn
