Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.5,79255553,1,79255553.0,79255553.0,79255553,79255553,0.0,PushPop,:timing
14.5,34378470,2,17189235.0,17189235.0,17084883,17293587,147576.0,PushPop,:backward
14.5,34371780,2,17185890.0,17185890.0,17081533,17290247,147583.1,PushPop,:torch.autograd.backward
9.8,23252321,2,11626160.5,11626160.5,11609656,11642665,23340.9,PushPop,:optim_step
8.2,19343764,2,9671882.0,9671882.0,9648588,9695176,32942.7,PushPop,:forward
1.4,3243235,48,67567.4,69473.0,57928,90158,7411.0,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
1.0,2248421,2,1124210.5,1124210.5,1084962,1163459,55505.8,PushPop,:BasicsTransformerLM.layers.0
0.7,1612158,2,806079.0,806079.0,770380,841778,50486.0,PushPop,:BasicsTransformerLM.layers.0.attn
0.7,1548659,2,774329.5,774329.5,770310,778349,5684.4,PushPop,:BasicsTransformerLM.layers.1
0.6,1529050,2,764525.0,764525.0,764490,764560,49.5,PushPop,:BasicsTransformerLM.layers.3
0.6,1528230,2,764115.0,764115.0,762970,765260,1619.3,PushPop,:BasicsTransformerLM.layers.8
0.6,1525050,2,762525.0,762525.0,760490,764560,2877.9,PushPop,:BasicsTransformerLM.layers.9
0.6,1521440,2,760720.0,760720.0,757910,763530,3973.9,PushPop,:BasicsTransformerLM.layers.4
0.6,1514930,2,757465.0,757465.0,749610,765320,11108.6,PushPop,:BasicsTransformerLM.layers.5
0.6,1513390,2,756695.0,756695.0,754030,759360,3768.9,PushPop,:BasicsTransformerLM.layers.2
0.6,1509241,2,754620.5,754620.5,749411,759830,7367.3,PushPop,:BasicsTransformerLM.layers.7
0.6,1508750,2,754375.0,754375.0,746250,762500,11490.5,PushPop,:BasicsTransformerLM.layers.10
0.6,1504730,2,752365.0,752365.0,742860,761870,13442.1,PushPop,:BasicsTransformerLM.layers.6
0.6,1499391,2,749695.5,749695.5,739571,759820,14318.2,PushPop,:BasicsTransformerLM.layers.11
0.4,1012434,2,506217.0,506217.0,502257,510177,5600.3,PushPop,:BasicsTransformerLM.layers.1.attn
0.4,1005264,2,502632.0,502632.0,499567,505697,4334.6,PushPop,:BasicsTransformerLM.layers.4.attn
0.4,1003974,2,501987.0,501987.0,500607,503367,1951.6,PushPop,:BasicsTransformerLM.layers.8.attn
0.4,1000724,2,500362.0,500362.0,499637,501087,1025.3,PushPop,:BasicsTransformerLM.layers.3.attn
0.4,990704,2,495352.0,495352.0,487317,503387,11363.2,PushPop,:BasicsTransformerLM.layers.9.attn
0.4,989464,2,494732.0,494732.0,488637,500827,8619.6,PushPop,:BasicsTransformerLM.layers.7.attn
0.4,983965,2,491982.5,491982.5,491338,492627,911.5,PushPop,:BasicsTransformerLM.layers.2.attn
0.4,982425,2,491212.5,491212.5,480668,501757,14912.2,PushPop,:BasicsTransformerLM.layers.5.attn
0.4,978305,2,489152.5,489152.5,482648,495657,9198.8,PushPop,:BasicsTransformerLM.layers.6.attn
0.4,978134,2,489067.0,489067.0,484887,493247,5911.4,PushPop,:BasicsTransformerLM.layers.10.attn
0.4,961785,2,480892.5,480892.5,473128,488657,10980.7,PushPop,:BasicsTransformerLM.layers.11.attn
0.2,530636,2,265318.0,265318.0,221354,309282,62174.5,PushPop,:BasicsTransformerLM.layers.0.attn.q_proj
0.1,252483,2,126241.5,126241.5,125786,126697,644.2,PushPop,:BasicsTransformerLM.layers.11.ffn
0.1,252044,2,126022.0,126022.0,121317,130727,6653.9,PushPop,:BasicsTransformerLM.layers.10.ffn
0.1,249513,2,124756.5,124756.5,123627,125886,1597.4,PushPop,:BasicsTransformerLM.layers.0.ffn
0.1,246904,2,123452.0,123452.0,122927,123977,742.5,PushPop,:BasicsTransformerLM.layers.5.ffn
0.1,246734,2,123367.0,123367.0,119947,126787,4836.6,PushPop,:BasicsTransformerLM.layers.6.ffn
