size,mode,warmup,iters,autocast,peak_memory_mib,forward_mean_ms,forward_std_ms,ctx_length,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms
xl,f,5,10,False,13154.05078125,37.66007640515454,0.28170344473499775,128,,,,
xl,f,5,10,False,15305.681640625,360.8631991024595,0.1744857031081439,2048,,,,
xl,train,5,10,False,52633.99462890625,44.82046610210091,3.841044447578244,128,78.27624329947866,0.3703002427517388,79.7199639986502,0.6696213528306106
xl,train,5,10,False,93355.7294921875,361.6628444000071,1.1746220748127782,2048,698.7899286000356,1.1938367380008517,79.46895849995599,0.11398246247009675
xl,f,5,10,True,13194.05078125,18.24827550444752,0.5404514591548205,128,,,,
xl,f,5,10,True,14783.681640625,94.59808760148007,0.1041689990567556,2048,,,,
xl,train,5,10,True,52631.20947265625,24.64488297700882,0.7440294908847644,128,45.520448102615774,0.27962890386412104,79.89452249603346,0.054413196508410595
xl,train,5,10,True,84484.1669921875,95.36822058726102,0.9760237888698501,2048,191.7383080930449,0.302996894171253,79.92647949140519,0.08661764424920283
