size,mode,warmup,iters,autocast,peak_memory_mib,checkpoint_block_size,compiled_mode,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,optim_mean_ms,optim_std_ms,ctx_length
small,train,15,50,False,5160.2509765625,,uncompiled,17.278987020108616,0.15634912727927344,32.602330399968196,0.2066241011485258,11.431525099469582,0.454481051445341,512
medium,train,15,50,False,14052.52734375,,uncompiled,48.256930360221304,0.09449055437197582,93.33788663789164,0.19497340127923307,20.538177540292963,0.5182538028962815,512
large,train,15,50,False,28147.5068359375,,uncompiled,106.85513126067235,0.10655456122595465,209.23119108076207,0.2774715267553599,36.5230810000503,2.7752204195714665,512
xl,train,15,50,False,67111.6357421875,,uncompiled,296.8606613809243,0.5647885948552647,573.4564771456644,0.8708941019491396,79.58772844169289,0.1686350993824648,512
small,train,15,50,False,4437.7197265625,,compiled,13.681635782122612,0.11147995815202466,25.392905166372657,0.06996392038538433,7.734502353705466,0.11543033900179105,512
medium,train,15,50,False,12126.58984375,,compiled,40.459699800703675,0.12790831526409302,76.30616775772069,0.08988323779935695,21.02624117920641,0.6718202479214905,512
large,train,15,50,False,24543.4755859375,,compiled,93.02640239882749,0.10283765127969442,178.4652293199906,0.05842292933436339,29.703562320792116,0.16729294838570588,512
xl,train,15,50,False,60643.6357421875,,compiled,273.03548344410956,0.141875060830618,528.4697001706809,1.5129074735980768,79.59984082262963,0.12216768196740349,512
