Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.9,412785484,1,412785484.0,412785484.0,412785484,412785484,0.0,PushPop,:timing
19.3,234975687,2,117487843.5,117487843.5,117025331,117950356,654091.5,PushPop,:backward
19.3,234960267,2,117480133.5,117480133.5,117017511,117942756,654247.0,PushPop,:torch.autograd.backward
9.1,110982377,2,55491188.5,55491188.5,55468849,55513528,31592.8,PushPop,:optim_step
4.9,59572093,2,29786046.5,29786046.5,29043368,30528725,1050306.0,PushPop,:forward
1.0,12442552,72,172813.2,169672.5,163257,318855,18436.1,PushPop,:scaled_dot_product_attention
0.8,9916497,144,68864.6,70143.5,58040,140318,9643.5,PushPop,:BasicsTransformerLM.layers.0.attn.positional_encoder
0.3,3684714,72,51176.6,49414.5,47870,103429,6735.2,PushPop,:computing softmax
0.3,3287333,72,45657.4,44909.0,42169,72389,3761.6,PushPop,:computing attention_scores
0.3,3085681,72,42856.7,41939.0,38919,75958,4333.3,PushPop,:computing output
0.2,2735836,2,1367918.0,1367918.0,1129282,1606554,337482.3,PushPop,:BasicsTransformerLM.layers.0
0.2,2023798,2,1011899.0,1011899.0,822477,1201321,267883.2,PushPop,:BasicsTransformerLM.layers.0.attn
0.1,1763524,72,24493.4,23569.5,22729,54519,3916.4,PushPop,:applying attention mask
0.1,1699412,2,849706.0,849706.0,828256,871156,30334.9,PushPop,:BasicsTransformerLM.layers.1
0.1,1677373,2,838686.5,838686.5,818747,858626,28198.7,PushPop,:BasicsTransformerLM.layers.2
0.1,1623644,2,811822.0,811822.0,792237,831407,27697.4,PushPop,:BasicsTransformerLM.layers.12
0.1,1621024,2,810512.0,810512.0,800107,820917,14714.9,PushPop,:BasicsTransformerLM.layers.4
0.1,1616484,2,808242.0,808242.0,804797,811687,4872.0,PushPop,:BasicsTransformerLM.layers.28
0.1,1616114,2,808057.0,808057.0,794827,821287,18710.0,PushPop,:BasicsTransformerLM.layers.7
0.1,1609544,2,804772.0,804772.0,799807,809737,7021.6,PushPop,:BasicsTransformerLM.layers.17
0.1,1607815,2,803907.5,803907.5,790598,817217,18822.5,PushPop,:BasicsTransformerLM.layers.19
0.1,1607575,2,803787.5,803787.5,783698,823877,28410.8,PushPop,:BasicsTransformerLM.layers.3
0.1,1606864,2,803432.0,803432.0,786547,820317,23879.0,PushPop,:BasicsTransformerLM.layers.5
0.1,1606345,2,803172.5,803172.5,791168,815177,16976.9,PushPop,:BasicsTransformerLM.layers.16
0.1,1605714,2,802857.0,802857.0,782747,822967,28439.8,PushPop,:BasicsTransformerLM.layers.13
0.1,1605315,2,802657.5,802657.5,796608,808707,8555.3,PushPop,:BasicsTransformerLM.layers.30
0.1,1604085,2,802042.5,802042.5,797218,806867,6822.9,PushPop,:BasicsTransformerLM.layers.11
0.1,1603114,2,801557.0,801557.0,788787,814327,18059.5,PushPop,:BasicsTransformerLM.layers.8
